"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","and","and","and","and","and"
"2","data","the","data","the","data"
"3","with","data","the","our","experience"
"4","the","for","with","with","with"
"5","for","with","business","you","the"
"6","experience","work","for","are","work"
"7","learning","team","experience","for","job"
"8","analysis","will","team","that","for"
"9","business","you","analytics","your","skills"
"10","skills","management","management","business","sql"
